task_id	specimen_id	status	review_reasons	raw_box_count	deduped_box_count	text_panel_count	auxiliary_panel_count	main_queue_count	rescue_queue_count	final_queue_count	crop_count	uncovered_unit_count	max_final_crop_area_fraction	overlay_path	queue_path	auxiliary_path	image_path
39	E00239279	REVIEW	many_rescue_crops	300	105	10	8	5	5	10	10	0	0.15222361664450143	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00239279/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00239279/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00239279/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0040_E00239279.jpg
40	E00502324	PASS		300	90	7	5	4	2	6	6	0	0.1853868953336487	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00502324/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00502324/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00502324/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0041_E00502324.jpg
41	BR0000008864185	PASS		300	92	10	2	7	2	9	9	0	0.303178331627365	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BR0000008864185/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BR0000008864185/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BR0000008864185/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0042_BR0000008864185.jpg
42	E00260931	PASS		300	96	7	6	5	1	6	6	0	0.20984341228238396	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00260931/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00260931/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00260931/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0043_E00260931.jpg
43	E00392893	REVIEW	oversized_final_crop	300	94	7	5	4	2	6	6	0	0.5588552915766739	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00392893/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00392893/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00392893/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0044_E00392893.jpg
44	E00117381	REVIEW	oversized_final_crop	300	104	4	1	4	0	4	4	0	0.516257225433526	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00117381/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00117381/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00117381/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0045_E00117381.jpg
45	E00117382	PASS		300	112	5	3	4	0	4	4	0	0.2391650831178373	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00117382/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00117382/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00117382/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0046_E00117382.jpg
46	E00112411	REVIEW	oversized_final_crop	300	92	3	3	3	0	3	3	0	0.5834512022630834	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00112411/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00112411/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00112411/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0047_E00112411.jpg
47	E00120460	REVIEW	oversized_final_crop	300	96	8	1	2	0	2	2	0	1.0	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00120460/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00120460/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00120460/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0048_E00120460.jpg
48	WAG.1241218	REVIEW	uncovered_text_units	195	41	2	1	2	0	2	2	1	0.2690317812269032	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/WAG.1241218/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/WAG.1241218/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/WAG.1241218/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0049_WAG.1241218.jpg
49	BM001074360	PASS		166	45	5	2	5	0	5	5	0	0.07381429525718103	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM001074360/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM001074360/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM001074360/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0050_BM001074360.jpg
50	E00746890	PASS		300	106	11	2	8	3	11	11	0	0.3061226138735252	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00746890/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00746890/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00746890/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0051_E00746890.jpg
51	WAG0003334	PASS		300	93	4	2	3	0	3	3	0	0.24409073275383833	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/WAG0003334/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/WAG0003334/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/WAG0003334/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0052_WAG0003334.jpg
52	BR0000012450015	PASS		300	105	7	1	6	1	7	7	0	0.14837625254275597	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BR0000012450015/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BR0000012450015/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BR0000012450015/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0053_BR0000012450015.jpg
53	E00205205	PASS		300	101	11	4	6	2	8	8	0	0.25550352001649757	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00205205/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00205205/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00205205/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0054_E00205205.jpg
54	E00423198	REVIEW	oversized_final_crop	300	92	6	1	5	1	6	6	0	0.36650993076665817	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00423198/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00423198/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/E00423198/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0055_E00423198.jpg
55	L.1966079	REVIEW	uncovered_text_units;oversized_final_crop	300	74	5	1	5	0	5	5	1	0.548809714011823	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/L.1966079/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/L.1966079/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/L.1966079/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0056_L.1966079.jpg
56	K000207860	PASS		300	96	4	1	3	1	4	4	0	0.28573583361666544	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/K000207860/05_final_queue/final_queue_overlay.png	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/K000207860/05_final_queue/final_ocr_queue.tsv	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/K000207860/04_candidate_panels/auxiliary_barrier_panels.tsv	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0057_K000207860.jpg
