specimen_id	queue_id	queue_rank	queue_stage	candidate_panel_id	region_type	panel_kind	panel_bbox_xyxy	final_crop_bbox_xyxy	area_fraction	panel_area_fraction	panel_score	covered_unit_n	coverage_gain_n	covered_unit_ids_json	coverage_gain_ids_json	class_counts_json	crop_reason	reason	crop_path
EIG.6762	Q0001	1	main	P0001	main_text_label_panel	text	[3742, 5296, 5620, 7819]	[3554, 5044, 5808, 7846]	0.13362532536182062	0.10024888973293672	59.658551371489416	34	34	"[""Y0012"", ""Y0021"", ""Y0095"", ""Y0131"", ""Y0144"", ""Y0149"", ""Y0153"", ""Y0159"", ""Y0181"", ""Y0190"", ""Y0196"", ""Y0203"", ""Y0211"", ""Y0217"", ""Y0218"", ""Y0219"", ""Y0223"", ""Y0228"", ""Y0234"", ""Y0239"", ""Y0240"", ""Y0241"", ""Y0251"", ""Y0252"", ""Y0258"", ""Y0259"", ""Y0270"", ""Y0275"", ""Y0276"", ""Y0281"", ""Y0282"", ""Y0286"", ""Y0294"", ""Y0298""]"	"[""Y0012"", ""Y0021"", ""Y0095"", ""Y0131"", ""Y0144"", ""Y0149"", ""Y0153"", ""Y0159"", ""Y0181"", ""Y0190"", ""Y0196"", ""Y0203"", ""Y0211"", ""Y0217"", ""Y0218"", ""Y0219"", ""Y0223"", ""Y0228"", ""Y0234"", ""Y0239"", ""Y0240"", ""Y0241"", ""Y0251"", ""Y0252"", ""Y0258"", ""Y0259"", ""Y0270"", ""Y0275"", ""Y0276"", ""Y0281"", ""Y0282"", ""Y0286"", ""Y0294"", ""Y0298""]"	"{""annotation label"": 4, ""catalog number"": 8, ""handwritten note"": 2, ""printed label"": 15, ""type specimen label"": 5}"	tight_union_of_text_children	main; main_text_label_panel; tight_union_of_text_children; gain=34	/net/scratch/f70829xm/nhm_scribe_new250_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/EIG.6762/05_final_queue/crops/Q0001_main_main_text_label_panel.jpg
EIG.6762	Q0002	2	main	P0002	main_text_label_panel	text	[1117, 7004, 3166, 7474]	[912, 6957, 3371, 7521]	0.02934299000785032	0.020375419047744783	14.944287541679836	7	7	"[""Y0029"", ""Y0088"", ""Y0128"", ""Y0220"", ""Y0244"", ""Y0285"", ""Y0290""]"	"[""Y0029"", ""Y0088"", ""Y0128"", ""Y0220"", ""Y0244"", ""Y0285"", ""Y0290""]"	"{""catalog number"": 1, ""handwritten note"": 3, ""primary specimen label"": 1, ""printed label"": 2}"	tight_union_of_text_children	main; main_text_label_panel; tight_union_of_text_children; gain=7	/net/scratch/f70829xm/nhm_scribe_new250_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/EIG.6762/05_final_queue/crops/Q0002_main_main_text_label_panel.jpg
EIG.6762	Q0003	3	main	P0003	small_text_label_panel	text	[1, 4603, 569, 5332]	[0, 4530, 626, 5405]	0.01158908422728493	0.008760776420192287	4.9973260786681095	2	2	"[""Y0083"", ""Y0133""]"	"[""Y0083"", ""Y0133""]"	"{""handwritten note"": 1, ""primary specimen label"": 1}"	tight_union_of_text_children	main; small_text_label_panel; tight_union_of_text_children; gain=2	/net/scratch/f70829xm/nhm_scribe_new250_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/EIG.6762/05_final_queue/crops/Q0003_main_small_text_label_panel.jpg
EIG.6762	Q0004	4	main	P0004	small_text_label_panel	text	[3, 786, 561, 1520]	[0, 713, 617, 1593]	0.011487739246091512	0.008665567147672375	4.88457101866811	2	2	"[""Y0164"", ""Y0288""]"	"[""Y0164"", ""Y0288""]"	"{""handwritten note"": 1, ""primary specimen label"": 1}"	tight_union_of_text_children	main; small_text_label_panel; tight_union_of_text_children; gain=2	/net/scratch/f70829xm/nhm_scribe_new250_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/EIG.6762/05_final_queue/crops/Q0004_main_small_text_label_panel.jpg
EIG.6762	Q0005	5	main	P0005	isolated_text_label_panel	text	[189, 3244, 275, 3310]	[165, 3220, 299, 3334]	0.00032320374378093033	0.00012009062907178323	2.5414472105599453	1	1	"[""Y0255""]"	"[""Y0255""]"	"{""catalog number"": 1}"	tight_union_of_text_children	main; isolated_text_label_panel; tight_union_of_text_children; gain=1	/net/scratch/f70829xm/nhm_scribe_new250_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/EIG.6762/05_final_queue/crops/Q0005_main_isolated_text_label_panel.jpg
EIG.6762	Q0006	6	main	P0006	isolated_text_label_panel	text	[201, 7590, 284, 7661]	[177, 7566, 308, 7685]	0.0003298260776250931	0.00012468183176885458	2.5334545805599453	1	1	"[""Y0295""]"	"[""Y0295""]"	"{""catalog number"": 1}"	tight_union_of_text_children	main; isolated_text_label_panel; tight_union_of_text_children; gain=1	/net/scratch/f70829xm/nhm_scribe_new250_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/EIG.6762/05_final_queue/crops/Q0006_main_isolated_text_label_panel.jpg
EIG.6762	Q0007	7	rescue	P0007	isolated_text_label_panel	text	[299, 1695, 562, 1870]	[273, 1671, 588, 1894]	0.0014862167440358373	0.0009737792817175516	2.2399075505599453	1	1	"[""Y0261""]"	"[""Y0261""]"	"{""barcode label"": 1}"	tight_union_of_text_children	rescue; isolated_text_label_panel; tight_union_of_text_children; gain=1	/net/scratch/f70829xm/nhm_scribe_new250_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/EIG.6762/05_final_queue/crops/Q0007_rescue_isolated_text_label_panel.jpg
