specimen_id	candidate_panel_id	panel_kind	panel_role	bbox_xyxy	area_fraction	n_child_boxes	best_confidence	mean_confidence	panel_score	child_box_ids_json	class_counts_json
H.1084145	P0001	text	main_text_label_panel	[2841, 5969, 5621, 7835]	0.10922128952320508	33	0.45713249	0.03203312575757576	58.59775799461616	"[""Y0006"", ""Y0097"", ""Y0101"", ""Y0102"", ""Y0105"", ""Y0115"", ""Y0116"", ""Y0119"", ""Y0120"", ""Y0134"", ""Y0136"", ""Y0142"", ""Y0147"", ""Y0173"", ""Y0189"", ""Y0199"", ""Y0205"", ""Y0211"", ""Y0213"", ""Y0221"", ""Y0223"", ""Y0226"", ""Y0241"", ""Y0243"", ""Y0249"", ""Y0250"", ""Y0258"", ""Y0262"", ""Y0268"", ""Y0275"", ""Y0277"", ""Y0284"", ""Y0292""]"	"{""annotation label"": 3, ""catalog number"": 5, ""handwritten note"": 3, ""primary specimen label"": 1, ""printed label"": 15, ""type specimen label"": 6}"
H.1084145	P0002	text	main_text_label_panel	[1, 821, 604, 7903]	0.08991333344113385	15	0.02629219	0.014140083999999999	25.45146529223978	"[""Y0121"", ""Y0124"", ""Y0143"", ""Y0198"", ""Y0204"", ""Y0251"", ""Y0254"", ""Y0259"", ""Y0271"", ""Y0279"", ""Y0281"", ""Y0282"", ""Y0285"", ""Y0286"", ""Y0294""]"	"{""annotation label"": 1, ""barcode label"": 2, ""catalog number"": 5, ""database label"": 4, ""primary specimen label"": 2, ""printed label"": 1}"
H.1084145	P0003	text	small_text_label_panel	[2637, 866, 5151, 5129]	0.22564799056476015	2	0.01172442	0.011212159999999999	4.4337855486681095	"[""Y0253"", ""Y0274""]"	"{""annotation label"": 1, ""primary specimen label"": 1}"
H.1084145	P0004	text	isolated_text_label_panel	[980, 7319, 2008, 7620]	0.006514940814149895	1	0.09618637	0.09618637	2.8817062905599453	"[""Y0045""]"	"{""handwritten note"": 1}"
H.1084145	P0005	auxiliary	auxiliary_barrier_panel	[1, 280, 5619, 7904]	0.9018109138586318	55	0.45818272	0.05727156381818181	3.087493740670947	"[""Y0005"", ""Y0011"", ""Y0016"", ""Y0020"", ""Y0029"", ""Y0038"", ""Y0049"", ""Y0050"", ""Y0055"", ""Y0057"", ""Y0058"", ""Y0059"", ""Y0068"", ""Y0073"", ""Y0075"", ""Y0076"", ""Y0081"", ""Y0083"", ""Y0085"", ""Y0086"", ""Y0089"", ""Y0096"", ""Y0100"", ""Y0125"", ""Y0133"", ""Y0139"", ""Y0145"", ""Y0162"", ""Y0164"", ""Y0168"", ""Y0172"", ""Y0174"", ""Y0179"", ""Y0182"", ""Y0184"", ""Y0186"", ""Y0187"", ""Y0188"", ""Y0190"", ""Y0191"", ""Y0192"", ""Y0197"", ""Y0200"", ""Y0206"", ""Y0208"", ""Y0210"", ""Y0214"", ""Y0237"", ""Y0242"", ""Y0248"", ""Y0252"", ""Y0257"", ""Y0263"", ""Y0280"", ""Y0287""]"	"{""blank paper label"": 30, ""color calibration chart"": 7, ""color checker"": 1, ""colour bar"": 3, ""colour chart"": 5, ""empty label"": 7, ""institution logo"": 1, ""measurement scale"": 1}"
