specimen_id	image_path	box_id	rank	prompt_class	prompt_group	confidence	bbox_xyxy	area_fraction	center_x	center_y	aspect_ratio	is_text	is_auxiliary	duplicate_of	is_duplicate_suppressed	text_seed	auxiliary_seed
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0207	207	printed label	text	0.01972494	[1237, 4722, 1472, 4869]	0.0015420230404891192	0.38230313293818796	0.7584216352996995	1.598639455782313	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0208	208	annotation label	text	0.01965431	[2615, 517, 2867, 699]	0.0020472816537557667	0.7736381597516229	0.09615688755337656	1.3846153846153846	True	False	Y0191	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0209	209	blank paper label	auxiliary	0.01965017	[1237, 4722, 1472, 4869]	0.0015420230404891192	0.38230313293818796	0.7584216352996995	1.598639455782313	False	True	Y0196	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0210	210	colour bar	auxiliary	0.0195317	[750, 5993, 3536, 6304]	0.038676500082201054	0.6048546429579452	0.9724023406610786	8.958199356913184	False	True	Y0038	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0211	211	type specimen label	text	0.01952107	[748, 6006, 2069, 6293]	0.01692350757769629	0.39754445385266723	0.9725604934366598	4.602787456445993	True	False	Y0224	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0212	212	barcode label	text	0.01950868	[1237, 4722, 1472, 4869]	0.0015420230404891192	0.38230313293818796	0.7584216352996995	1.598639455782313	True	False	Y0207	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0213	213	database label	text	0.01943412	[2403, 3392, 3369, 3544]	0.006554300972097217	0.8145639288738358	0.5484738257156413	6.355263157894737	True	False	Y0204	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0214	214	barcode label	text	0.01940403	[2148, 5418, 3533, 5945]	0.032581123379296736	0.801721704769969	0.8985449944646529	2.6280834914611004	True	False	Y0145	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0215	215	primary specimen label	text	0.0193611	[2256, 5692, 3479, 5816]	0.006769456596794208	0.8093423652272086	0.9100110706942907	9.862903225806452	True	False	Y0153	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0216	216	colour chart	auxiliary	0.01935616	[2226, 94, 3358, 243]	0.00752901844530956	0.7880327406152978	0.02664874268543413	7.597315436241611	False	True	Y0108	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0217	217	blank paper label	auxiliary	0.01930355	[2881, 6066, 2955, 6137]	0.00023452855853900225	0.8235958227490827	0.9649691602087617	1.0422535211267605	False	True		False	False	True
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0218	218	calibration color map	auxiliary	0.01927426	[2092, 3308, 3536, 5933]	0.16920070444272706	0.79424216765453	0.7307448995729875	0.5500952380952381	False	True	Y0076	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0219	219	barcode label	text	0.01912799	[2615, 517, 2867, 699]	0.0020472816537557667	0.7736381597516229	0.09615688755337656	1.3846153846153846	True	False	Y0191	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0220	220	database label	text	0.01911631	[152, 6117, 441, 6273]	0.002012463938555839	0.08368614168783517	0.979756444725605	1.8525641025641026	True	False	Y0253	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0221	221	herbarium stamp	text	0.01869949	[1267, 4887, 1855, 5725]	0.021995154177529907	0.44058707310189105	0.839158627233908	0.7016706443914081	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0222	222	database label	text	0.01869545	[2240, 5671, 3491, 5795]	0.006924440067530298	0.8087778718600056	0.9066898624070853	10.088709677419354	True	False	Y0263	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0223	223	barcode label	text	0.01866919	[2680, 113, 3213, 240]	0.003021597384100419	0.8316398532317245	0.027913964890083822	4.196850393700787	True	False	Y0135	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0224	224	catalog number	text	0.0185046	[748, 6006, 2069, 6293]	0.01692350757769629	0.39754445385266723	0.9725604934366598	4.602787456445993	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0225	225	annotation label	text	0.01834293	[2189, 5418, 3491, 5704]	0.01662197723644563	0.8015805814281682	0.8794875850071169	4.5524475524475525	True	False	Y0266	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0226	226	colour chart	auxiliary	0.01817349	[561, 1303, 1334, 2274]	0.03350459631783021	0.26742873271239065	0.2828562391269967	0.796086508753862	False	True		False	False	True
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0227	227	printed label	text	0.01807662	[2135, 3798, 3430, 4180]	0.022082019913144086	0.7853513971210838	0.6308714217934525	3.3900523560209423	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0228	228	annotation label	text	0.01795432	[2241, 99, 2681, 245]	0.0028675513133889427	0.694609088343212	0.027202277399968368	3.0136986301369864	True	False	Y0138	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0229	229	database label	text	0.01785279	[1601, 3545, 1937, 3700]	0.002324752061041347	0.49929438329099635	0.5729084295429385	2.167741935483871	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0230	230	database label	text	0.01769807	[400, 3649, 1068, 4117]	0.013954940252131145	0.20716906576347727	0.6141072275818441	1.4273504273504274	True	False	Y0001	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0231	231	colour chart	auxiliary	0.01766858	[2240, 5671, 3491, 5795]	0.006924440067530298	0.8087778718600056	0.9066898624070853	10.088709677419354	False	True		False	False	True
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0232	232	annotation label	text	0.0176446	[2174, 3713, 3383, 3821]	0.005828485524467949	0.784222410386678	0.5957615056144235	11.194444444444445	True	False	Y0099	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0233	233	printed label	text	0.01763252	[2178, 3371, 3365, 3546]	0.00927244857680134	0.7822466836014677	0.5469713743476198	6.782857142857143	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0234	234	printed label	text	0.01746453	[934, 5642, 1493, 5934]	0.007286187200838267	0.34250635055038103	0.9153882650640519	1.9143835616438356	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0235	235	primary specimen label	text	0.01738293	[2195, 4377, 3431, 4602]	0.01241385461166664	0.7939599209709286	0.7100268859718488	5.493333333333333	True	False	Y0149	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0236	236	annotation label	text	0.01732765	[2106, 3353, 3445, 3548]	0.0116552301631759	0.7833756703358735	0.5457061521429701	6.866666666666666	True	False	Y0151	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0237	237	empty label	auxiliary	0.01728173	[2226, 94, 3358, 243]	0.00752901844530956	0.7880327406152978	0.02664874268543413	7.597315436241611	False	True	Y0108	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0238	238	type specimen label	text	0.0172432	[2200, 4164, 3412, 4393]	0.012389214382448228	0.7919841941857183	0.6766566503242132	5.292576419213974	True	False	Y0300	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0239	239	blank paper label	auxiliary	0.01721617	[2195, 4377, 3431, 4602]	0.01241385461166664	0.7939599209709286	0.7100268859718488	5.493333333333333	False	True	Y0087	True	False	False
