specimen_id	candidate_panel_id	panel_kind	panel_role	bbox_xyxy	area_fraction	n_child_boxes	best_confidence	class_counts_json	child_box_ids_json	audit_use
L.2180891	P0010	auxiliary	auxiliary_barrier_panel	[0, 58, 3543, 6323]	0.9908271390162897	26	0.46630889	"{""blank paper label"": 7, ""calibration color map"": 1, ""color calibration chart"": 7, ""colour bar"": 1, ""colour chart"": 9, ""institution logo"": 1}"	"[""Y0002"", ""Y0015"", ""Y0019"", ""Y0038"", ""Y0043"", ""Y0045"", ""Y0056"", ""Y0076"", ""Y0084"", ""Y0086"", ""Y0087"", ""Y0096"", ""Y0108"", ""Y0111"", ""Y0142"", ""Y0146"", ""Y0187"", ""Y0188"", ""Y0195"", ""Y0217"", ""Y0226"", ""Y0231"", ""Y0245"", ""Y0254"", ""Y0261"", ""Y0287""]"	merge_barrier_not_deleted
L.2180891	P0011	auxiliary	auxiliary_barrier_panel	[1237, 4722, 1472, 4869]	0.0015420230404891192	1	0.02135573	"{""empty label"": 1}"	"[""Y0196""]"	merge_barrier_not_deleted
L.2180891	P0012	auxiliary	auxiliary_barrier_panel	[1557, 5477, 1851, 5726]	0.0032677764858024742	1	0.0207893	"{""empty label"": 1}"	"[""Y0198""]"	merge_barrier_not_deleted
L.2180891	P0013	auxiliary	auxiliary_barrier_panel	[994, 5788, 1479, 5934]	0.0031608236068037207	1	0.01567269	"{""empty label"": 1}"	"[""Y0265""]"	merge_barrier_not_deleted
